Parameters;1_precision-mean;1_precision-std;1_recall-mean;1_recall-std;1_f1-score-mean;1_f1-score-std;-1_precision-mean;-1_precision-std;-1_recall-mean;-1_recall-std;-1_f1-score-mean;-1_f1-score-std;macro avg_precision-mean;macro avg_precision-std;macro avg_recall-mean;macro avg_recall-std;macro avg_f1-score-mean;macro avg_f1-score-std;weighted avg_precision-mean;weighted avg_precision-std;weighted avg_recall-mean;weighted avg_recall-std;weighted avg_f1-score-mean;weighted avg_f1-score-std;accuracy-mean;accuracy-std;time-mean;time-std
reg_kernel:rbf_gamma:scale_nu:0.05;0.3505804407372242;0.009859143209872885;0.8994295178505706;0.019822140026147787;0.5043556966129547;0.009989205125540917;0.9697865932316816;0.005408398427641427;0.6584313725490196;0.01845222016630367;0.7841547691523119;0.012355110004881925;0.6601835169844529;0.005353628645995114;0.7789304451997952;0.008566010776127795;0.6442552328826332;0.010666946160659156;0.8645679488900319;0.004702650383286634;0.6993849770608768;0.013510418101567407;0.7366107817506513;0.011748932343623168;0.6993849770608768;0.013510418101567407;0.0824674129486084;0.0016015827321168965
reg_kernel:rbf_gamma:scale_nu:0.1;0.36875707551697207;0.008612005340464707;0.8572920500552079;0.021192073755924003;0.5155184751274225;0.007823780467779321;0.9599923962507418;0.005079514832552375;0.6992156862745098;0.015715658752559893;0.8089759676570163;0.00945540996576765;0.6643747358838568;0.00438371909714069;0.7782538681648589;0.007260484783523297;0.6622472213922194;0.008038915082832184;0.8595277361744676;0.0041834403966165366;0.7260759919746198;0.010684204126414399;0.7591105638766165;0.00890603758505201;0.7260759919746198;0.010684204126414399;0.10458016395568848;0.004563422067636428
reg_kernel:rbf_gamma:scale_nu:0.15;0.3944653108691817;0.01380448252553133;0.8170592565329408;0.019850685277448467;0.5317419580494567;0.010758469613963118;0.952063248984812;0.004196423800055353;0.742549019607843;0.01843137254901963;0.8341997573411483;0.010687777861173765;0.6732642799269969;0.006511210629993067;0.7798041380703918;0.0071439511175569815;0.6829708576953024;0.010407734287562804;0.8573142463815566;0.003585952961120955;0.7552098711115469;0.013055735791830612;0.7828049885732142;0.010553495201542178;0.7552098711115469;0.013055735791830612;0.17529616355895997;0.030475157761691123
reg_kernel:rbf_gamma:scale_nu:0.2;0.43230029295339084;0.01881006175736935;0.7749033860875966;0.02690006849612941;0.5543070281104019;0.011186556644572703;0.9450595609764116;0.005036151564658259;0.7905882352941175;0.021618480709549366;0.8607368376500519;0.011217126279410112;0.6886799269649012;0.008097193318777444;0.7827458106908571;0.006798324199911002;0.7075219328802268;0.010803036781656774;0.8579280343940265;0.003433088879378841;0.787925619462342;0.014177012203166157;0.808667025995803;0.01103435869312394;0.787925619462342;0.014177012203166157;0.16810307502746583;0.01068251143328059
reg_kernel:rbf_gamma:scale_nu:0.25;0.4688069241429892;0.0170019775217132;0.7270196908354803;0.017774104479850634;0.5696321223008401;0.010198203728456687;0.9370166509529788;0.0031892732804709133;0.8307843137254902;0.014228864750217042;0.8806274084516493;0.0072599722810955045;0.7029117875479839;0.008025024942697228;0.7789020022804853;0.0059207889430483674;0.7251297653762446;0.00845941084933738;0.8574559016422689;0.0031780754860946743;0.8131525590838133;0.009771536616893376;0.827781479194719;0.007631926829280569;0.8131525590838133;0.009771536616893376;0.23729453086853028;0.049086333609613716
reg_kernel:rbf_gamma:scale_nu:0.3;0.5204423473802459;0.009664500629051137;0.6848868237026132;0.020078988369508322;0.5913447223168821;0.011764811303918401;0.9310491299611664;0.004075854628672958;0.8707843137254901;0.004778846120374078;0.8998958934994155;0.002895900362188238;0.7257457386707061;0.006191919138501135;0.7778355687140518;0.009647864271986101;0.7456203079081488;0.007079721330043509;0.8612765988365861;0.004584447739889296;0.8391939634723287;0.0044903852546644;0.8474644688267798;0.004235303237009059;0.8391939634723287;0.0044903852546644;0.2488391399383545;0.03700059994454088
reg_kernel:rbf_gamma:scale_nu:0.35;0.5377526536191607;0.009087389712859799;0.6350938535149062;0.024910173965708503;0.5821896371090861;0.013334542079844053;0.9224565220687657;0.004793926910807166;0.8882352941176471;0.00476272854960438;0.9050037489380015;0.002410587695307841;0.7301045878439633;0.005992669020470532;0.7616645738162766;0.011291363932484864;0.7435966930235439;0.007550132864219023;0.8570861827857461;0.004949256356451419;0.8452159140001536;0.003891807602133714;0.8501478747120282;0.004000310317375256;0.8452159140001536;0.003891807602133714;0.2626791954040527;0.013278588054575402
reg_kernel:rbf_gamma:scale_nu:0.4;0.5699831560846396;0.012422320730059345;0.5852870813397129;0.028133198244758066;0.5772689799167229;0.017696583425202563;0.9146686802075662;0.005234462300745298;0.9096078431372548;0.004697705314004273;0.9121130406717917;0.002845693949942055;0.7423259181461029;0.007942300914632513;0.7474474622384838;0.01323033364087745;0.7446910102942572;0.010009073489876622;0.8560973460901404;0.00584976985267837;0.854493603284363;0.004770351961895115;0.855212338502157;0.005161103927364708;0.854493603284363;0.004770351961895115;0.3729733467102051;0.0710194572434436
reg_kernel:rbf_gamma:scale_nu:0.45;0.5927214079746326;0.0052758382326540225;0.5479020979020979;0.014391248805491337;0.5693596796506986;0.009393022561362463;0.9088727337436421;0.00260917734333428;0.9229411764705884;0.0018183565677442899;0.9158488843128294;0.0011829721487023207;0.7507970708591373;0.003619054535442299;0.7354216371863431;0.006718744045418962;0.742604281981764;0.00519503165529171;0.8551509141493339;0.002877567187154101;0.8592127547355839;0.002087635146435928;0.8569718352733725;0.0025296576903619814;0.8592127547355839;0.002087635146435928;0.31739606857299807;0.008091702227160285
reg_kernel:rbf_gamma:scale_nu:0.5;0.6254549077683367;0.01023781249798896;0.4894782848730217;0.022424912696032123;0.5489342909700122;0.01585306038258114;0.899966666212619;0.003881882655843456;0.9400000000000001;0.0029346332445285713;0.9195380921339742;0.001759514753508954;0.7627107869904779;0.006214905216061154;0.7147391424365109;0.010429803411678483;0.7342361915519933;0.008669941104852112;0.8533205931072138;0.004309861201601289;0.8634444995136535;0.003168076566266075;0.8565629624668738;0.004035181878036878;0.8634444995136535;0.003168076566266075;0.416078519821167;0.07196407339044056
reg_kernel:rbf_gamma:scale_nu:0.55;0.6662155709314131;0.012778989588747992;0.4434946632315054;0.015225354361748211;0.5323934445735307;0.013469575024521346;0.8933828588654451;0.0026538892706611957;0.9545098039215686;0.002286647801900144;0.9229319319107496;0.0017687382493022188;0.7797992148984292;0.0072557863166175535;0.699002233576537;0.007570020666252043;0.7276626882421401;0.007527093853075572;0.8547810911951123;0.003931035282108445;0.867676244291723;0.003093682100527192;0.8565698912242175;0.003695879205545253;0.867676244291723;0.003093682100527192;0.4108210563659668;0.05381758744479624
reg_kernel:rbf_gamma:scale_nu:0.6;0.7119778922169763;0.008521188114205852;0.386013986013986;0.009291862267411572;0.5005727229995096;0.009400351395285562;0.8850866598850959;0.0015533981196034596;0.9680392156862745;0.0009998077477632876;0.9247055263837678;0.001043280096487178;0.7985322760510362;0.004865165750068633;0.6770266008501302;0.004724203698997135;0.7126391246916387;0.005185366349007575;0.855671426256729;0.002562181191178881;0.8691407171424558;0.001876919561583856;0.8526362523831285;0.0024286684651035006;0.8691407171424558;0.001876919561583856;0.5148251056671143;0.09249265229458721
reg_kernel:rbf_gamma:scale_nu:0.65;0.7305377832440433;0.012516240131496863;0.3438719175561281;0.02354089542882426;0.46734383653831923;0.02448119766791011;0.8788428033014448;0.0037997170297172276;0.9741176470588234;0.0004802921064280724;0.924025973353527;0.0020079704797014027;0.8046902932727441;0.008122992675222877;0.6589947823074758;0.011647484803725289;0.6956849049459232;0.013238576291956988;0.8536420960640374;0.005256761770688258;0.8670249110131645;0.003831071618098788;0.8464253745372657;0.005834556945189913;0.8670249110131645;0.003831071618098788;0.4895279884338379;0.07885521988216453
reg_kernel:rbf_gamma:scale_nu:0.7;0.7356389906389907;0.009328657975975556;0.29598362164151637;0.014762966087104019;0.42194659100694415;0.015638021837500612;0.8716008448656254;0.0023500102382559723;0.978235294117647;0.001143323900950055;0.9218419500739028;0.0011778565681382464;0.803619917752308;0.00538953156464132;0.6371094578795817;0.007085117885553248;0.6718942705404235;0.008359625550613895;0.8484962456083103;0.0031281814418537323;0.8623050969645087;0.0022416406043345148;0.836897740850126;0.0036281372286628795;0.8623050969645087;0.0022416406043345148;0.5742266654968262;0.09694491724896988
reg_kernel:rbf_gamma:scale_nu:0.75;0.7430897537939792;0.009811808562677446;0.24714758925285238;0.0153747505146893;0.3707523700609584;0.018464389141168512;0.8644205888135961;0.0025324548346441285;0.982549019607843;0.0003921568627450966;0.9197048861118414;0.0013479321489184987;0.8037551713037875;0.006109092515796773;0.6148483044303477;0.007577612605318172;0.6452286280863999;0.00990001753578405;0.8438025113896398;0.003734461255309109;0.8575852829158528;0.0025892335489047847;0.8264226072881901;0.004355684825174254;0.8575852829158528;0.0025892335489047847;0.5041187286376954;0.025076389180997125
reg_kernel:rbf_gamma:scale_nu:0.8;0.7656597420748363;0.01108324099913998;0.1973224144276776;0.006474621371064001;0.31375279138623907;0.008971657781422615;0.8573629438748392;0.0011125784951558377;0.9876470588235294;0.0004802921064280724;0.9179047089721383;0.0007407585723943314;0.811511342974838;0.005971275270165025;0.5924847366256035;0.003354176835376787;0.6158287501791888;0.0048512435395509194;0.8417809967847198;0.0026530307608500074;0.8533530080598354;0.0013840595334656436;0.8152454371080244;0.0021907470529995777;0.8533530080598354;0.0013840595334656436;0.5943923473358155;0.1217185248295841
reg_kernel:rbf_gamma:scale_nu:0.85;0.7882723172196856;0.006735919845840739;0.1465495031284505;0.011531708989236483;0.24698521344332586;0.016523673936606014;0.8502559649208198;0.0016736864639672062;0.9919607843137255;0.0003921568627450966;0.9156571248158875;0.0008286522264811618;0.8192641410702526;0.0041108741960442785;0.569255143721088;0.005588655712826438;0.5813211691296066;0.008667042087940406;0.8397234525454313;0.002447220600337805;0.8483073285926694;0.0016713804888745176;0.8020356397455852;0.0034798707355742945;0.8483073285926694;0.0016713804888745176;0.5228880882263184;0.021891370809153758
reg_kernel:rbf_gamma:scale_nu:0.005;0.34945446099889216;0.009754430835575154;0.9032664703717336;0.020347614606527693;0.5037929312527354;0.010138268545176797;0.9707730106832211;0.005570382586775848;0.6552941176470588;0.018358219452149688;0.7822458580312428;0.012401669103796703;0.6601137358410566;0.005453500861980175;0.7792802940093961;0.008998795898173963;0.6430193946419891;0.010732993449789358;0.8651956322238696;0.004913898146132964;0.6974317723421228;0.013509488066107508;0.7349303864983755;0.011793610240442357;0.6974317723421228;0.013509488066107508;0.08650035858154297;0.018882999054533042
reg_kernel:rbf_gamma:scale_nu:0.01;0.34945446099889216;0.009754430835575154;0.9032664703717336;0.020347614606527693;0.5037929312527354;0.010138268545176797;0.9707730106832211;0.005570382586775848;0.6552941176470588;0.018358219452149688;0.7822458580312428;0.012401669103796703;0.6601137358410566;0.005453500861980175;0.7792802940093961;0.008998795898173963;0.6430193946419891;0.010732993449789358;0.8651956322238696;0.004913898146132964;0.6974317723421228;0.013509488066107508;0.7349303864983755;0.011793610240442357;0.6974317723421228;0.013509488066107508;0.07958683967590333;0.015263172720708835
