Parameters;1_precision-mean;1_precision-std;1_recall-mean;1_recall-std;1_f1-score-mean;1_f1-score-std;-1_precision-mean;-1_precision-std;-1_recall-mean;-1_recall-std;-1_f1-score-mean;-1_f1-score-std;macro avg_precision-mean;macro avg_precision-std;macro avg_recall-mean;macro avg_recall-std;macro avg_f1-score-mean;macro avg_f1-score-std;weighted avg_precision-mean;weighted avg_precision-std;weighted avg_recall-mean;weighted avg_recall-std;weighted avg_f1-score-mean;weighted avg_f1-score-std;accuracy-mean;accuracy-std;time-mean;time-std
reg_kernel:rbf_gamma:scale_nu:0.05;0.4744143257540607;0.01814027085953261;0.6107271885132006;0.27950808128728283;0.5115055574659626;0.11493593201722761;0.4841716405806504;0.03426034046135954;0.35271317829457366;0.2516098041413563;0.34182031520263256;0.2123864708724222;0.47929298316735547;0.021746804527982968;0.48172018340388717;0.014850262574280565;0.4266629363342977;0.04920853590816749;0.47932763152228935;0.02182469217150306;0.4806758650097466;0.012951511296924532;0.42598002153721015;0.05045924667582246;0.4806758650097466;0.012951511296924532;0.024964237213134767;0.0025267995626820404
reg_kernel:rbf_gamma:scale_nu:0.1;0.4961619652569319;0.0014636790199676558;0.9166002779064382;0.005796464803846414;0.6438174043733197;0.0025685732184841897;0.5028558040888801;0.013148854904973417;0.08294573643410855;0.0018988292579714527;0.14237053978962338;0.002567639441094298;0.499508884672906;0.007279598549418985;0.4997730071702734;0.0023257284557715273;0.39309397208147157;0.0014739758757579212;0.4995323301354409;0.007323469629604837;0.4966800682261209;0.0024398182243511525;0.39123329252132233;0.001659323042384695;0.4966800682261209;0.0024398182243511525;0.022073984146118164;0.004589366232608368
reg_kernel:rbf_gamma:scale_nu:0.15;0.4910550308772523;0.008392029784887976;0.7748957850856879;0.21829074562829906;0.5868028465006436;0.09578980146544908;0.4938176986137071;0.021636350347973038;0.21550387596899223;0.2081593829405909;0.2561623678989583;0.1487452713224894;0.4924363647454797;0.01287309614755886;0.49519983052734;0.0069659871049317455;0.42148260719980096;0.02683570024012351;0.4924494641446425;0.012932852103815583;0.49316672758284597;0.005859377424376356;0.4202807416056752;0.027725948898242814;0.49316672758284597;0.005859377424376356;0.024169349670410158;0.00022172807877738967
reg_kernel:rbf_gamma:scale_nu:0.2;0.4790942691818209;0.01722476003283263;0.5202470279450363;0.27779076978038253;0.4687869949657138;0.13349890916711052;0.503219981810499;0.016962860787070946;0.4612403100775193;0.2532405207949819;0.4328337736796545;0.16191963833784173;0.49115712549616;0.01699690932081754;0.4907436690112778;0.012487175729221858;0.45081038432268417;0.014897321078793104;0.49124669174679114;0.016999819673953226;0.4904369212962963;0.010518984534059665;0.45062821383827806;0.01597400576826005;0.4904369212962963;0.010518984534059665;0.03003659248352051;0.0029668389180696735
reg_kernel:rbf_gamma:scale_nu:0.25;0.49763437348435097;0.0071736691574856015;0.722186197313571;0.21745873452266995;0.5722797937916454;0.10591837141654156;0.5207814727131687;0.013027716352881948;0.2875968992248062;0.20504425484642605;0.3353823112082265;0.12310782082233797;0.5092079230987598;0.00990498107691534;0.5048915482691886;0.006553805130798538;0.45383105249993594;0.0086927885668333;0.5092951728312778;0.00992868695065561;0.5033191703216374;0.005002530520409787;0.45297417898104914;0.009533328188976545;0.5033191703216374;0.005002530520409787;0.03249406814575195;0.00029179644607165486
reg_kernel:rbf_gamma:scale_nu:0.3;0.49198554266992567;0.018658577038198454;0.7005990427667129;0.2310055750449617;0.559473444994117;0.12306761718866152;0.5184556793464202;0.021390273677373242;0.303875968992248;0.20659460120496967;0.3484341541229011;0.11620966184481613;0.505220611008173;0.0191042046900855;0.5022375058794805;0.013162573853748494;0.453953799558509;0.0047256187331465435;0.5053175460767665;0.01912678245982478;0.500593932748538;0.011762880120379729;0.45307693011117867;0.004161088565121203;0.500593932748538;0.011762880120379729;0.037688255310058594;0.0011275097084580438
reg_kernel:rbf_gamma:scale_nu:0.35;0.49236946839154994;0.0142791653582524;0.680132777520457;0.225019912999016;0.5518187037622847;0.12168932253168253;0.5120309390831227;0.016810456517609453;0.3217054263565891;0.20747117439257412;0.36317321308025063;0.11353543892445189;0.5022002037373362;0.014579001295976071;0.5009191019385231;0.010001430087197534;0.4574959584212676;0.004432479556590086;0.5022715722145167;0.014598460041826647;0.49941977339181287;0.008716700582604608;0.4567038264639052;0.003700493907578208;0.49941977339181287;0.008716700582604608;0.042014265060424806;0.0014621643338066546
reg_kernel:rbf_gamma:scale_nu:0.4;0.487209055522698;0.018854115954416138;0.5525798981009726;0.276772071762997;0.4833222611531437;0.15542689824331404;0.511731118897642;0.01777419886287307;0.44651162790697674;0.254192654131346;0.4360923919953713;0.1325080432447636;0.49947008721016994;0.017653676835508253;0.49954576300397474;0.012184608475983159;0.45970732657425745;0.01206222488900355;0.4995617149802859;0.01765261876551505;0.49902686403508767;0.010369231902337333;0.4594648653772843;0.01103580504002977;0.49902686403508767;0.010369231902337333;0.047201347351074216;0.003794357662515546
reg_kernel:rbf_gamma:scale_nu:0.45;0.49571089811162106;0.014104299933034352;0.5392125984251969;0.2767827531068091;0.4789029680725279;0.16039484103460735;0.5214295878940626;0.020723577687940115;0.47441860465116276;0.253496669138565;0.45812562702643145;0.12397637760491657;0.5085702430028419;0.017263463152029215;0.5068156015381798;0.012395558347621374;0.4685142975494797;0.0185206406845919;0.5086666004507441;0.017294661966699647;0.506447977582846;0.010615634145892769;0.4683689610404457;0.017511145534948598;0.506447977582846;0.010615634145892769;0.04882140159606933;0.0009358585225334747
reg_kernel:rbf_gamma:scale_nu:0.5;0.4995551579600851;0.012556203503981537;0.6329226493747104;0.22285894965242334;0.5355926070217111;0.13315726855618884;0.5237477250831445;0.016262071662392973;0.386046511627907;0.2043573178199246;0.41812258528143104;0.09696855499388833;0.5116514415216148;0.014150164760789235;0.5094845805013087;0.010217474467215187;0.476857596151571;0.01821892663582373;0.5117415578291193;0.014172739719629292;0.508401102582846;0.008937274828223773;0.4763314868871074;0.017459425001672593;0.508401102582846;0.008937274828223773;0.05356497764587402;0.0024364798516989237
reg_kernel:rbf_gamma:scale_nu:0.55;0.503566272539053;0.008365383894542265;0.5069507488034584;0.2696323767896456;0.4637289106838255;0.16601248470953242;0.5232903185951345;0.017121929503844294;0.5155038759689923;0.25002854232836585;0.48605821023517476;0.11264106364004305;0.5134282955670937;0.012551335157777259;0.5112273123862253;0.010095374939906216;0.4748935604595001;0.026795380605482286;0.5135029275763088;0.01258961015503662;0.5111331932261208;0.008322600688055395;0.47490857907024353;0.02580919935491305;0.5111331932261208;0.008322600688055395;0.05565032958984375;0.0012380750478465311
reg_kernel:rbf_gamma:scale_nu:0.6;0.5072313000251911;0.010758480036336985;0.499867222479543;0.27842386164893046;0.4578515526609174;0.1773352035422969;0.5296102679301444;0.02218370846687563;0.5310077519379846;0.253204924142006;0.49623794311887914;0.1091400526560408;0.5184207839776678;0.015928631153200704;0.5154374872087637;0.01303487388103681;0.47704474788989826;0.034266806424235983;0.5185084394242858;0.0159746132638126;0.5154277838693957;0.01116028171478198;0.4771206713055993;0.033230475187600375;0.5154277838693957;0.01116028171478198;0.06493120193481446;0.008582732206471514
reg_kernel:rbf_gamma:scale_nu:0.65;0.5075717985993489;0.017975247010561066;0.37861664350779684;0.27938030421684046;0.3797909472791698;0.18188676218077554;0.5230986521404957;0.023736403119916323;0.6465116279069768;0.2525442913102036;0.5477266836182513;0.10572147050593364;0.5153352253699224;0.018368975924065792;0.5125641357073867;0.014573799921750636;0.4637588154487105;0.03869938563141564;0.5153972667414143;0.01839422141604513;0.513473897417154;0.012755160345854727;0.4643372776087921;0.03764676107461434;0.513473897417154;0.012755160345854727;0.06340479850769043;0.0017644000216922408
reg_kernel:rbf_gamma:scale_nu:0.7;0.5105663077552134;0.0064418719243700805;0.5935865369769956;0.2244843165379252;0.520382689809631;0.14785747537790603;0.5333896660260236;0.017331518346737115;0.4441860465116279;0.20620155038759688;0.4614861726109082;0.08636966509484292;0.5219779868906185;0.011878548823869298;0.5188862917443118;0.010407499511912308;0.4909344312102695;0.03101112500477537;0.5220664693764206;0.01192226170193857;0.5181629203216375;0.00919611316652424;0.4906239730488796;0.030263373904814355;0.5181629203216375;0.00919611316652424;0.07110080718994141;0.004633718970927337
reg_kernel:rbf_gamma:scale_nu:0.75;0.5153097009141316;0.003179081707951932;0.5880778138026865;0.2236222882343584;0.5192777966104944;0.14896173002163254;0.5365008106489633;0.017020813917561554;0.4558139534883721;0.20620155038759688;0.47021591685967296;0.08446506857557065;0.5259052557815475;0.009496222125675781;0.5219458836455293;0.009672865866688014;0.49474685673508373;0.03243278947382866;0.5259897313886411;0.009550893159297774;0.521286397417154;0.00843700319977027;0.4944731793998396;0.031689206761825725;0.521286397417154;0.00843700319977027;0.07284464836120605;0.00274305679749595
reg_kernel:rbf_gamma:scale_nu:0.8;0.5110456434399167;0.005094880065856011;0.5794194843291648;0.22146580958401174;0.5134388697255163;0.14890160193371363;0.5299700130752762;0.01645424220523315;0.4558139534883721;0.20620155038759688;0.4680464964567695;0.08512856299646714;0.5205078282575964;0.010530665748776612;0.5176167189087685;0.009888905223861693;0.4907426830911429;0.03229814732947697;0.5205822902301268;0.010575327049316805;0.5169902838693957;0.008858684655759307;0.4904824402588622;0.0315591898137181;0.5169902838693957;0.008858684655759307;0.07779712677001953;0.0030984278870048814
reg_kernel:rbf_gamma:scale_nu:0.85;0.5116392688033573;0.005655802744191929;0.68764242704956;0.015956428384606227;0.586704288395364;0.009515997308601915;0.5348806193806194;0.012146570348435009;0.35348837209302325;0.0015503875968992276;0.42560334088310503;0.003583405520338735;0.5232599440919884;0.00888829763799969;0.5205653995712918;0.0076593716570257766;0.5061538146392346;0.00647055949553851;0.5233460301144193;0.00891198537629188;0.5193271807992202;0.007621126141685745;0.5055568810452458;0.006459663965427386;0.5193271807992202;0.007621126141685745;0.08180899620056152;0.0031223296733185074
reg_kernel:rbf_gamma:scale_nu:0.005;0.4892261630003108;0.016578908931286995;0.844912768256909;0.2375912139545184;0.6066675878182224;0.09904627860832507;0.5255318069256688;0.047836841425283896;0.1457364341085271;0.21017046486465263;0.16391173375404594;0.17723892989469647;0.5073789849629898;0.02963633177626753;0.4953246011827181;0.014085048169408414;0.38528966078613414;0.03930651609572506;0.5075079916229409;0.029758247373718724;0.49277229532163747;0.012529554827423867;0.3836711802318712;0.04035145350390215;0.49277229532163747;0.012529554827423867;0.012143754959106445;0.0030178933166835707
reg_kernel:rbf_gamma:scale_nu:0.01;0.4977562095554098;0.0020918515514051638;0.9645885440790488;0.01028311589264133;0.6566497241810316;0.00406445564419086;0.5474561403508772;0.05510098733948782;0.04108527131782946;0.006297704189640279;0.07624718159338252;0.010857086783119639;0.5226061749531435;0.028561174855210154;0.5028369076984391;0.004050226974059826;0.36644845288720707;0.005019119530339498;0.5227933723312287;0.02877019019473073;0.49941444322612083;0.0039835717343268216;0.3642991460375726;0.004877454046427688;0.49941444322612083;0.0039835717343268216;0.01073312759399414;0.0003025834426892301
reg_kernel:rbf_gamma:scale_nu:0.015;0.4971435810037369;0.0027020477539988633;0.964591631928362;0.011949779759716835;0.6561160052487771;0.00499211419216253;0.5390892131604206;0.06854802325695351;0.03875968992248062;0.00424591129848966;0.07212660032607829;0.007210877804148104;0.5181163970820787;0.035571485084235466;0.5016756609254213;0.0048444226603116;0.3641213027874277;0.0034107634249824306;0.5182647376278201;0.03581978818475211;0.49824104532163743;0.0049553958153472945;0.3619540621851665;0.0036081169036197755;0.49824104532163743;0.0049553958153472945;0.011455059051513672;0.000560245370571017
reg_kernel:rbf_gamma:scale_nu:0.02;0.496746815343381;0.001982953876861815;0.9645885440790488;0.011150897258138783;0.6557676090658677;0.004117371996602118;0.5226998050682262;0.05512741906561158;0.037209302325581395;0.0071888515468958945;0.06924098791116991;0.012217687119445103;0.5097233102058036;0.02852825523947822;0.5008989232023151;0.0036632035278582665;0.36250429848851884;0.005254778501322821;0.5098177460953315;0.028734606438802605;0.49746131822612083;0.003685310382391445;0.3603310694569818;0.005221883100254613;0.49746131822612083;0.003685310382391445;0.011151361465454101;0.00045706438256574165
reg_kernel:rbf_gamma:scale_nu:0.025;0.4906517777821631;0.012656122452561128;0.850421491431218;0.22645187465006633;0.6103604002682588;0.09076330726148749;0.5131190125276344;0.03240660475523616;0.14108527131782944;0.20469520315420017;0.16036983716590952;0.1767484516313885;0.5018853951548988;0.020422964964099184;0.4957533813745238;0.011037984135086257;0.3853651187170842;0.043067235507373694;0.5019675902491313;0.020505394419006243;0.49316444322612085;0.009488483423750513;0.38372220495743453;0.04405539362535581;0.49316444322612085;0.009488483423750513;0.011438083648681641;0.00020309526252023554
